tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0037913,movie,Mildred Pierce,1945,111,"Crime,Drama,Film-Noir",7.9,31541
tt0037988,movie,The Picture of Dorian Gray,1945,110,"Drama,Fantasy,Horror",7.5,16127
tt0038057,movie,Scarlet Street,1945,102,"Crime,Drama,Film-Noir",7.7,21379
tt0038109,movie,Spellbound,1945,111,"Drama,Film-Noir,Mystery",7.5,55539
tt0038160,movie,They Were Expendable,1945,135,"Drama,War",7.2,10276
tt0038166,movie,The Three Caballeros,1944,71,"Animation,Comedy,Family",6.3,17260
tt0038348,movie,Beauty and the Beast,1946,93,"Drama,Fantasy,Romance",7.9,29908
tt0038355,movie,The Big Sleep,1946,114,"Crime,Drama,Film-Noir",7.9,94451
tt0038369,movie,The Blue Dahlia,1946,96,"Crime,Drama,Film-Noir",7.1,10616
tt0038499,movie,Duel in the Sun,1946,129,"Drama,Romance,Western",6.7,10470
tt0038559,movie,Gilda,1946,110,"Drama,Film-Noir,Romance",7.6,37492
tt0038574,movie,Great Expectations,1946,118,"Adventure,Drama,Mystery",7.8,28427
tt0038650,movie,It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",8.6,555418
tt0038669,movie,The Killers,1946,103,"Crime,Drama,Film-Noir",7.7,26244
tt0038733,movie,A Matter of Life and Death,1946,104,"Drama,Fantasy,Romance",8.0,28008
tt0038762,movie,My Darling Clementine,1946,97,"Drama,Romance,Western",7.7,28649
tt0038787,movie,Notorious,1946,102,"Drama,Film-Noir,Mystery",7.9,112854
tt0038823,movie,Paisan,1946,120,"Drama,War",7.6,10763
tt0038854,movie,The Postman Always Rings Twice,1946,113,"Crime,Drama,Film-Noir",7.4,24949
tt0038890,movie,"Rome, Open City",1945,103,"Drama,Thriller,War",8.0,34174
tt0038969,movie,Song of the South,1946,94,"Animation,Comedy,Family",6.9,15255
tt0038975,movie,The Spiral Staircase,1946,83,"Drama,Horror,Mystery",7.3,12551
tt0038988,movie,The Strange Love of Martha Ivers,1946,116,"Drama,Film-Noir,Romance",7.4,12406
tt0038991,movie,The Stranger,1946,95,"Crime,Drama,Film-Noir",7.3,31003
tt0039169,movie,The Bachelor and the Bobby-Soxer,1947,95,"Comedy,Romance",7.2,10360
tt0039190,movie,The Bishop's Wife,1947,109,"Comedy,Drama,Fantasy",7.6,23892
tt0039192,movie,Black Narcissus,1947,101,"Drama,Thriller",7.7,31527
tt0039224,movie,Brute Force,1947,98,"Crime,Drama,Film-Noir",7.5,12788
tt0039286,movie,Crossfire,1947,86,"Crime,Drama,Film-Noir",7.2,10933
