tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue
tt0025878,movie,The Thin Man,1934,91,"Comedy,Crime,Mystery",7.9,35351,en,True,226408.0,1423000.0
tt0025913,movie,Triumph of the Will,1935,110,"Documentary,History",7.1,18510,de,False,0.0,0.0
tt0026029,movie,The 39 Steps,1935,86,"Crime,Mystery,Thriller",7.6,66394,en,False,75000.0,0.0
tt0026138,movie,Bride of Frankenstein,1935,75,"Drama,Horror,Sci-Fi",7.8,59183,en,True,393750.0,2000000.0
tt0026174,movie,Captain Blood,1935,119,"Action,Adventure,History",7.7,17415,en,False,1200000.0,0.0
tt0026752,movie,Mutiny on the Bounty,1935,132,"Adventure,Biography,Drama",7.6,26779,en,False,1950000.0,4460000.0
tt0026778,movie,A Night at the Opera,1935,96,"Comedy,Music,Musical",7.8,36574,en,False,0.0,0.0
tt0027125,movie,Top Hat,1935,101,"Comedy,Musical,Romance",7.7,22227,en,False,609000.0,3202000.0
tt0027260,movie,After the Thin Man,1936,112,"Comedy,Crime,Mystery",7.6,13213,en,True,673000.0,3165000.0
tt0027532,movie,Dodsworth,1936,101,"Drama,Romance",7.7,11153,en,False,0.0,0.0
tt0027652,movie,Fury,1936,92,"Crime,Drama,Film-Noir",7.8,14802,en,False,604000.0,1300000.0
tt0027977,movie,Modern Times,1936,87,"Comedy,Drama,Romance",8.5,285991,en,False,1500000.0,1800000.0
tt0027996,movie,Mr. Deeds Goes to Town,1936,115,"Comedy,Drama,Romance",7.8,25073,en,False,0.0,0.0
tt0028010,movie,My Man Godfrey,1936,94,"Comedy,Drama,Romance",7.9,28746,en,False,575375.0,684200.0
tt0028096,movie,The Petrified Forest,1936,82,"Drama,Thriller",7.5,15977,en,False,0.0,0.0
tt0028212,movie,Sabotage,1936,76,"Crime,Thriller",7.0,20802,en,False,0.0,0.0
tt0028333,movie,Swing Time,1936,103,"Comedy,Musical,Romance",7.4,15633,en,False,886000.0,2600000.0
tt0028358,movie,Things to Come,1936,100,"Drama,Sci-Fi,War",6.6,10207,en,False,0.0,0.0
tt0028597,movie,The Awful Truth,1937,90,"Comedy,Romance",7.6,23377,en,False,600000.0,3000000.0
tt0028691,movie,Captains Courageous,1937,117,"Adventure,Drama,Family",7.9,12012,en,False,1645000.0,0.0
tt0028772,movie,A Day at the Races,1937,111,"Comedy,Family,Musical",7.5,15402,en,False,2016000.0,2305000.0
tt0028950,movie,Grand Illusion,1937,113,"Drama,War",8.0,41171,fr,False,0.0,172885.0
tt0029146,movie,The Life of Emile Zola,1937,116,"Biography,Drama",7.1,10052,en,False,0.0,0.0
